userId,DiwanLevel,GameLevel,Coins,Water,Oil,Pearls,Daggers,Status,transactionId,purchasedPearls,purchasedItemId,paidAmount,paidAmountUSD,PaidAmount70%,currency,DeviceInfo,Device,country,installAt,Receipt,createdAt (PDT),createdAt (UTC),Time Diffirent CreateAt and InstallAt
31_b0ca634c-57b6-11e4-975d-22000a4a0686,6,27,24477,398113,0,2,0,Valid,290000057847250,3125,ba.lum.tribalrivals.pearls.medium.ar,74.99,19.99,13.992999999999999,SAR,"{""deviceModel"":""iPhone7,2"",""deviceName"":""Hussam Alddoghayem"",""deviceType"":""Handheld""}","",US,2014-10-19 10:38:08 -0400 PDT,"{""receipt"":{""original_purchase_date_pst"":""2014-10-25 00:00:13 America/Los_Angeles"", ""unique_identifier"":""3f64307f288e38740c1aa917c180b1422564b697"", ""original_transaction_id"":""290000057847250"", ""bvrs"":""1.9"", ""app_item_id"":""793770655"", ""transaction_id"":""290000057847250"", ""quantity"":""1"", ""unique_vendor_identifier"":""F593D51A-5D9F-4444-9C11-00A82B8ADEE0"", ""product_id"":""ba.lum.tribalrivals.pearls.medium.ar"", ""item_id"":""808200612"", ""version_external_identifier"":""747932653"", ""bid"":""ba.lum.tribalrivals.arabic"", ""purchase_date_ms"":""1414220413006"", ""purchase_date"":""2014-10-25 07:00:13 Etc/GMT"", ""purchase_date_pst"":""2014-10-25 00:00:13 America/Los_Angeles"", ""original_purchase_date"":""2014-10-25 07:00:13 Etc/GMT"", ""original_purchase_date_ms"":""1414220413006""}, ""status"":0}",2014-10-25 00:00:16 -0400 PDT,2014-10-25 07:00:16 -0400 UTC,5:13:22:8 (dd:hh:mm:ss)
31_b2f61021-19c4-11e4-b281-22000ad2b690,9,65,15554,174662,9246,4,1290,Valid,120000124910303,3125,ba.lum.tribalrivals.pearls.medium.ar,74.99,19.99,13.992999999999999,SAR,"{""deviceModel"":""iPhone6,2"",""deviceName"":""‏iPhone الخاص بـ ذيبان"",""deviceType"":""Handheld""}","iPhone 5s (model A1457, A1518, A1528 (China), A1530 | Global)",SA,2014-08-01 14:42:13 -0400 PDT,"{""receipt"":{""original_purchase_date_pst"":""2014-10-25 00:00:13 America/Los_Angeles"", ""unique_identifier"":""eebce570d07303879d95e6609d4dda2426aae133"", ""original_transaction_id"":""120000124910303"", ""bvrs"":""1.9"", ""app_item_id"":""793770655"", ""transaction_id"":""120000124910303"", ""quantity"":""1"", ""unique_vendor_identifier"":""D743B3EF-62F1-47B0-8C38-5E036F2A4775"", ""product_id"":""ba.lum.tribalrivals.pearls.medium.ar"", ""item_id"":""808200612"", ""version_external_identifier"":""747932653"", ""bid"":""ba.lum.tribalrivals.arabic"", ""purchase_date_ms"":""1414220413055"", ""purchase_date"":""2014-10-25 07:00:13 Etc/GMT"", ""purchase_date_pst"":""2014-10-25 00:00:13 America/Los_Angeles"", ""original_purchase_date"":""2014-10-25 07:00:13 Etc/GMT"", ""original_purchase_date_ms"":""1414220413055""}, ""status"":0}",2014-10-25 00:00:17 -0400 PDT,2014-10-25 07:00:17 -0400 UTC,84:9:18:4 (dd:hh:mm:ss)
31_10c354ce-5b6a-11e4-8574-22000a4a0686,6,27,0,1191239,0,8,155,Valid,410000089586130,1500,ba.lum.tribalrivals.pearls.small.ar,9.99,9.99,6.992999999999999,USD,"{""deviceModel"":""iPhone6,2"",""deviceName"":""Khalifa's iPhone"",""deviceType"":""Handheld""}","iPhone 5s (model A1457, A1518, A1528 (China), A1530 | Global)",AE,2014-10-24 03:39:43 -0400 PDT,"{""receipt"":{""original_purchase_date_pst"":""2014-10-25 00:00:26 America/Los_Angeles"", ""unique_identifier"":""c83d8f10bddfc4fb79493ebbb0714fd457a4c280"", ""original_transaction_id"":""410000089586130"", ""bvrs"":""1.9"", ""app_item_id"":""793770655"", ""transaction_id"":""410000089586130"", ""quantity"":""1"", ""unique_vendor_identifier"":""38927D23-2332-45B0-8A75-1804D9EAF08C"", ""product_id"":""ba.lum.tribalrivals.pearls.small.ar"", ""item_id"":""808200600"", ""version_external_identifier"":""747932653"", ""bid"":""ba.lum.tribalrivals.arabic"", ""purchase_date_ms"":""1414220426486"", ""purchase_date"":""2014-10-25 07:00:26 Etc/GMT"", ""purchase_date_pst"":""2014-10-25 00:00:26 America/Los_Angeles"", ""original_purchase_date"":""2014-10-25 07:00:26 Etc/GMT"", ""original_purchase_date_ms"":""1414220426486""}, ""status"":0}",2014-10-25 00:00:33 -0400 PDT,2014-10-25 07:00:33 -0400 UTC,0:20:20:50 (dd:hh:mm:ss)
31_aafa2296-2137-11e4-ad8e-22000a4a0686,6,44,895666,835257,0,193,550,Valid,730000045184283,625,ba.lum.tribalrivals.pearls.xsmall.ar,17.99,4.9,3.43,AED,"{""deviceModel"":""iPad4,5"",""deviceName"":""s iPad mini "",""deviceType"":""Handheld""}",2nd Generation iPad Mini - Cellular,AE,2014-08-11 02:12:50 -0400 PDT,"{""receipt"":{""original_purchase_date_pst"":""2014-10-25 00:01:23 America/Los_Angeles"", ""unique_identifier"":""5571be6a80d15d25cf65da28f59c2c53eb54cc28"", ""original_transaction_id"":""730000045184283"", ""bvrs"":""1.9"", ""app_item_id"":""793770655"", ""transaction_id"":""730000045184283"", ""quantity"":""1"", ""unique_vendor_identifier"":""3BF7E26A-6D5E-4B8F-A9AC-CE0E51FE9746"", ""product_id"":""ba.lum.tribalrivals.pearls.xsmall.ar"", ""item_id"":""808200592"", ""version_external_identifier"":""747932653"", ""bid"":""ba.lum.tribalrivals.arabic"", ""purchase_date_ms"":""1414220483361"", ""purchase_date"":""2014-10-25 07:01:23 Etc/GMT"", ""purchase_date_pst"":""2014-10-25 00:01:23 America/Los_Angeles"", ""original_purchase_date"":""2014-10-25 07:01:23 Etc/GMT"", ""original_purchase_date_ms"":""1414220483361""}, ""status"":0}",2014-10-25 00:01:29 -0400 PDT,2014-10-25 07:01:29 -0400 UTC,74:21:48:39 (dd:hh:mm:ss)
31_27ab5d56-5b62-11e4-8574-22000a4a0686,4,12,5155,0,0,135,0,Valid,140000111408304,625,ba.lum.tribalrivals.pearls.xsmall.ar,17.99,4.9,3.43,AED,"{""deviceModel"":""iPad4,1"",""deviceName"":""brens’s iPad"",""deviceType"":""Handheld""}",5th Generation iPad (iPad Air) - Wifi,AE,2014-10-24 02:43:05 -0400 PDT,"{""receipt"":{""original_purchase_date_pst"":""2014-10-25 00:01:29 America/Los_Angeles"", ""unique_identifier"":""edb64fe24ce3a7adf0a5d9935f78e9803a40eb29"", ""original_transaction_id"":""140000111408304"", ""bvrs"":""1.9"", ""app_item_id"":""793770655"", ""transaction_id"":""140000111408304"", ""quantity"":""1"", ""unique_vendor_identifier"":""27656C56-BF05-464D-9F1B-0ED1444D8EC6"", ""product_id"":""ba.lum.tribalrivals.pearls.xsmall.ar"", ""item_id"":""808200592"", ""version_external_identifier"":""747932653"", ""bid"":""ba.lum.tribalrivals.arabic"", ""purchase_date_ms"":""1414220489166"", ""purchase_date"":""2014-10-25 07:01:29 Etc/GMT"", ""purchase_date_pst"":""2014-10-25 00:01:29 America/Los_Angeles"", ""original_purchase_date"":""2014-10-25 07:01:29 Etc/GMT"", ""original_purchase_date_ms"":""1414220489166""}, ""status"":0}",2014-10-25 00:01:34 -0400 PDT,2014-10-25 07:01:34 -0400 UTC,0:21:18:29 (dd:hh:mm:ss)
31_196e1e97-5c13-11e4-ad9b-22000a4a0686,3,5,2697,3125,0,103,25,Product not in the list,3F38AA38-79C2-4408-BF0A-F83615AC616E,0,ba.lum.tribalrivals.pearls.large.ar,49.99,49.99,34.993,USD,"{""deviceModel"":""iPad3,6"",""deviceName"":""‏ iPad الخاص بـassem_fouda"",""deviceType"":""Handheld""}",iPad 4 (GSM+CDMA),SA,2014-10-24 23:49:42 -0400 PDT,"{""receipt"":{""original_purchase_date_pst"":""2012-07-12 05:54:35 America/Los_Angeles"", ""purchase_date_ms"":""1342097675882"", ""original_transaction_id"":""170000029449420"", ""original_purchase_date_ms"":""1342097675882"", ""app_item_id"":""450542233"", ""transaction_id"":""170000029449420"", ""quantity"":""1"", ""bvrs"":""1.4"", ""version_external_identifier"":""9051236"", ""bid"":""com.zeptolab.ctrexperiments"", ""product_id"":""com.zeptolab.ctrbonus.superpower1"", ""purchase_date"":""2012-07-12 12:54:35 Etc/GMT"", ""purchase_date_pst"":""2012-07-12 05:54:35 America/Los_Angeles"", ""original_purchase_date"":""2012-07-12 12:54:35 Etc/GMT"", ""item_id"":""534185042""}, ""status"":0}",2014-10-25 00:02:26 -0400 PDT,2014-10-25 07:02:26 -0400 UTC,0:0:12:44 (dd:hh:mm:ss)
31_59229dd3-26c8-11e4-90c0-22000a4a0686,9,69,671919,666928,17670,28,1890,Valid,430000083661466,3125,ba.lum.tribalrivals.pearls.medium.ar,19.99,19.99,13.992999999999999,USD,"{""deviceModel"":""iPhone6,2"",""deviceName"":""BRAND LINE’s iPhone"",""deviceType"":""Handheld""}","iPhone 5s (model A1457, A1518, A1528 (China), A1530 | Global)",KW,2014-08-18 04:11:05 -0400 PDT,"{""receipt"":{""original_purchase_date_pst"":""2014-10-25 00:06:24 America/Los_Angeles"", ""unique_identifier"":""2fb9fdf22accb7ab4344f09445b28bc24c41df34"", ""original_transaction_id"":""430000083661466"", ""bvrs"":""1.9"", ""app_item_id"":""793770655"", ""transaction_id"":""430000083661466"", ""quantity"":""1"", ""unique_vendor_identifier"":""837F92A9-46FA-4888-A551-0EC98C553375"", ""product_id"":""ba.lum.tribalrivals.pearls.medium.ar"", ""item_id"":""808200612"", ""version_external_identifier"":""747932653"", ""bid"":""ba.lum.tribalrivals.arabic"", ""purchase_date_ms"":""1414220784572"", ""purchase_date"":""2014-10-25 07:06:24 Etc/GMT"", ""purchase_date_pst"":""2014-10-25 00:06:24 America/Los_Angeles"", ""original_purchase_date"":""2014-10-25 07:06:24 Etc/GMT"", ""original_purchase_date_ms"":""1414220784572""}, ""status"":0}",2014-10-25 00:06:29 -0400 PDT,2014-10-25 07:06:29 -0400 UTC,67:19:55:24 (dd:hh:mm:ss)
31_59229dd3-26c8-11e4-90c0-22000a4a0686,9,69,671919,666928,17670,3153,1890,Valid,430000083661478,17500,ba.lum.tribalrivals.pearls.xlarge.ar,99.99,99.99,69.993,USD,"{""deviceModel"":""iPhone6,2"",""deviceName"":""BRAND LINE’s iPhone"",""deviceType"":""Handheld""}","iPhone 5s (model A1457, A1518, A1528 (China), A1530 | Global)",KW,2014-08-18 04:11:05 -0400 PDT,"{""receipt"":{""original_purchase_date_pst"":""2014-10-25 00:06:36 America/Los_Angeles"", ""unique_identifier"":""2fb9fdf22accb7ab4344f09445b28bc24c41df34"", ""original_transaction_id"":""430000083661478"", ""bvrs"":""1.9"", ""app_item_id"":""793770655"", ""transaction_id"":""430000083661478"", ""quantity"":""1"", ""unique_vendor_identifier"":""837F92A9-46FA-4888-A551-0EC98C553375"", ""product_id"":""ba.lum.tribalrivals.pearls.xlarge.ar"", ""item_id"":""808200730"", ""version_external_identifier"":""747932653"", ""bid"":""ba.lum.tribalrivals.arabic"", ""purchase_date_ms"":""1414220796063"", ""purchase_date"":""2014-10-25 07:06:36 Etc/GMT"", ""purchase_date_pst"":""2014-10-25 00:06:36 America/Los_Angeles"", ""original_purchase_date"":""2014-10-25 07:06:36 Etc/GMT"", ""original_purchase_date_ms"":""1414220796063""}, ""status"":0}",2014-10-25 00:06:40 -0400 PDT,2014-10-25 07:06:40 -0400 UTC,67:19:55:35 (dd:hh:mm:ss)
31_59229dd3-26c8-11e4-90c0-22000a4a0686,9,69,671919,666928,17670,20653,1890,Valid,430000083661488,17500,ba.lum.tribalrivals.pearls.xlarge.ar,99.99,99.99,69.993,USD,"{""deviceModel"":""iPhone6,2"",""deviceName"":""BRAND LINE’s iPhone"",""deviceType"":""Handheld""}","iPhone 5s (model A1457, A1518, A1528 (China), A1530 | Global)",KW,2014-08-18 04:11:05 -0400 PDT,"{""receipt"":{""original_purchase_date_pst"":""2014-10-25 00:06:45 America/Los_Angeles"", ""unique_identifier"":""2fb9fdf22accb7ab4344f09445b28bc24c41df34"", ""original_transaction_id"":""430000083661488"", ""bvrs"":""1.9"", ""app_item_id"":""793770655"", ""transaction_id"":""430000083661488"", ""quantity"":""1"", ""unique_vendor_identifier"":""837F92A9-46FA-4888-A551-0EC98C553375"", ""product_id"":""ba.lum.tribalrivals.pearls.xlarge.ar"", ""item_id"":""808200730"", ""version_external_identifier"":""747932653"", ""bid"":""ba.lum.tribalrivals.arabic"", ""purchase_date_ms"":""1414220805790"", ""purchase_date"":""2014-10-25 07:06:45 Etc/GMT"", ""purchase_date_pst"":""2014-10-25 00:06:45 America/Los_Angeles"", ""original_purchase_date"":""2014-10-25 07:06:45 Etc/GMT"", ""original_purchase_date_ms"":""1414220805790""}, ""status"":0}",2014-10-25 00:06:50 -0400 PDT,2014-10-25 07:06:50 -0400 UTC,67:19:55:45 (dd:hh:mm:ss)
31_eff184a4-5c0e-11e4-ad9b-22000a4a0686,2,4,2068,43,0,61,48,Not verified,4743718480570295668,0,ba.lum.tribalrivals.pearls.xsmall.ar,17.99,4.8,3.36,SAR,"{""deviceModel"":""iPad2,5"",""deviceName"":""‏iPad الخاص بـ سعد"",""deviceType"":""Handheld""}",iPad Mini (WiFi),SA,2014-10-24 23:19:55 -0400 PDT,"{""status"":21002, ""exception"":""java.lang.NumberFormatException""}",2014-10-25 00:09:08 -0400 PDT,2014-10-25 07:09:08 -0400 UTC,0:0:49:13 (dd:hh:mm:ss)
31_095401bf-4e63-11e4-975d-22000a4a0686,9,69,0,0,98255,198,1276,Valid,520000069479045,17500,ba.lum.tribalrivals.pearls.xlarge.ar,99.99,99.99,69.993,USD,"{""deviceModel"":""iPhone7,1"",""deviceName"":""✋شيخ الشباب✋"",""deviceType"":""Handheld""}","",QA,2014-10-07 13:46:39 -0400 PDT,"{""receipt"":{""original_purchase_date_pst"":""2014-10-25 00:09:51 America/Los_Angeles"", ""unique_identifier"":""529979d0b2a2b0e2de364855aa7cd80c768c38cb"", ""original_transaction_id"":""520000069479045"", ""bvrs"":""1.9"", ""app_item_id"":""793770655"", ""transaction_id"":""520000069479045"", ""quantity"":""1"", ""unique_vendor_identifier"":""3B38236B-6244-40E4-8E7F-7F17F6E402CA"", ""product_id"":""ba.lum.tribalrivals.pearls.xlarge.ar"", ""item_id"":""808200730"", ""version_external_identifier"":""747932653"", ""bid"":""ba.lum.tribalrivals.arabic"", ""purchase_date_ms"":""1414220991080"", ""purchase_date"":""2014-10-25 07:09:51 Etc/GMT"", ""purchase_date_pst"":""2014-10-25 00:09:51 America/Los_Angeles"", ""original_purchase_date"":""2014-10-25 07:09:51 Etc/GMT"", ""original_purchase_date_ms"":""1414220991080""}, ""status"":0}",2014-10-25 00:09:54 -0400 PDT,2014-10-25 07:09:54 -0400 UTC,17:10:23:15 (dd:hh:mm:ss)
31_f9022428-1cfa-11e4-ad8e-22000a4a0686,9,62,534725,162499,29533,3,3164,Valid,250000089025711,17500,ba.lum.tribalrivals.pearls.xlarge.ar,99.99,99.99,69.993,USD,"{""deviceModel"":""iPhone5,2"",""deviceName"":""99"",""deviceType"":""Handheld""}","iPhone 5 (model A1429, everything else)",KW,2014-08-05 16:48:17 -0400 PDT,"{""receipt"":{""original_purchase_date_pst"":""2014-10-25 00:10:01 America/Los_Angeles"", ""unique_identifier"":""bef54744fa3874412227ad6b40d4fdbc0b965cfc"", ""original_transaction_id"":""250000089025711"", ""bvrs"":""1.9"", ""app_item_id"":""793770655"", ""transaction_id"":""250000089025711"", ""quantity"":""1"", ""unique_vendor_identifier"":""A1C92485-A4A1-4DD6-BA81-B621712E4B43"", ""product_id"":""ba.lum.tribalrivals.pearls.xlarge.ar"", ""item_id"":""808200730"", ""version_external_identifier"":""747932653"", ""bid"":""ba.lum.tribalrivals.arabic"", ""purchase_date_ms"":""1414221001122"", ""purchase_date"":""2014-10-25 07:10:01 Etc/GMT"", ""purchase_date_pst"":""2014-10-25 00:10:01 America/Los_Angeles"", ""original_purchase_date"":""2014-10-25 07:10:01 Etc/GMT"", ""original_purchase_date_ms"":""1414221001122""}, ""status"":0}",2014-10-25 00:10:09 -0400 PDT,2014-10-25 07:10:09 -0400 UTC,80:7:21:52 (dd:hh:mm:ss)
31_6d38bc89-5c13-11e4-ad9b-22000a4a0686,2,3,3706,1289,0,265,28,Product not in the list,"",0,ba.lum.tribalrivals.pearls.xlarge.ar,99.99,99.99,69.993,USD,"{""deviceModel"":""iPad3,6"",""deviceName"":""‏ iPad الخاص بـassem_fouda"",""deviceType"":""Handheld""}",iPad 4 (GSM+CDMA),SA,2014-10-24 23:52:03 -0400 PDT,"{""receipt"":{""original_purchase_date_pst"":""2012-07-12 05:54:35 America/Los_Angeles"", ""purchase_date_ms"":""1342097675882"", ""original_transaction_id"":""170000029449420"", ""original_purchase_date_ms"":""1342097675882"", ""app_item_id"":""450542233"", ""transaction_id"":""170000029449420"", ""quantity"":""1"", ""bvrs"":""1.4"", ""version_external_identifier"":""9051236"", ""bid"":""com.zeptolab.ctrexperiments"", ""product_id"":""com.zeptolab.ctrbonus.superpower1"", ""purchase_date"":""2012-07-12 12:54:35 Etc/GMT"", ""purchase_date_pst"":""2012-07-12 05:54:35 America/Los_Angeles"", ""original_purchase_date"":""2012-07-12 12:54:35 Etc/GMT"", ""item_id"":""534185042""}, ""status"":0}",2014-10-25 00:10:28 -0400 PDT,2014-10-25 07:10:28 -0400 UTC,0:0:18:25 (dd:hh:mm:ss)
31_6d38bc89-5c13-11e4-ad9b-22000a4a0686,2,3,3706,1289,0,265,28,Product not in the list,A7F407AE-36F8-4003-B6D1-1202BA682C4C,0,ba.lum.tribalrivals.pearls.xlarge.ar,99.99,99.99,69.993,USD,"{""deviceModel"":""iPad3,6"",""deviceName"":""‏ iPad الخاص بـassem_fouda"",""deviceType"":""Handheld""}",iPad 4 (GSM+CDMA),SA,2014-10-24 23:52:03 -0400 PDT,"{""receipt"":{""original_purchase_date_pst"":""2012-07-12 05:54:35 America/Los_Angeles"", ""purchase_date_ms"":""1342097675882"", ""original_transaction_id"":""170000029449420"", ""original_purchase_date_ms"":""1342097675882"", ""app_item_id"":""450542233"", ""transaction_id"":""170000029449420"", ""quantity"":""1"", ""bvrs"":""1.4"", ""version_external_identifier"":""9051236"", ""bid"":""com.zeptolab.ctrexperiments"", ""product_id"":""com.zeptolab.ctrbonus.superpower1"", ""purchase_date"":""2012-07-12 12:54:35 Etc/GMT"", ""purchase_date_pst"":""2012-07-12 05:54:35 America/Los_Angeles"", ""original_purchase_date"":""2012-07-12 12:54:35 Etc/GMT"", ""item_id"":""534185042""}, ""status"":0}",2014-10-25 00:10:32 -0400 PDT,2014-10-25 07:10:32 -0400 UTC,0:0:18:29 (dd:hh:mm:ss)
31_6d38bc89-5c13-11e4-ad9b-22000a4a0686,2,3,3706,1289,0,265,28,Product not in the list,"",0,ba.lum.tribalrivals.pearls.xlarge.ar,99.99,99.99,69.993,USD,"{""deviceModel"":""iPad3,6"",""deviceName"":""‏ iPad الخاص بـassem_fouda"",""deviceType"":""Handheld""}",iPad 4 (GSM+CDMA),SA,2014-10-24 23:52:03 -0400 PDT,"{""receipt"":{""original_purchase_date_pst"":""2012-07-12 05:54:35 America/Los_Angeles"", ""purchase_date_ms"":""1342097675882"", ""original_transaction_id"":""170000029449420"", ""original_purchase_date_ms"":""1342097675882"", ""app_item_id"":""450542233"", ""transaction_id"":""170000029449420"", ""quantity"":""1"", ""bvrs"":""1.4"", ""version_external_identifier"":""9051236"", ""bid"":""com.zeptolab.ctrexperiments"", ""product_id"":""com.zeptolab.ctrbonus.superpower1"", ""purchase_date"":""2012-07-12 12:54:35 Etc/GMT"", ""purchase_date_pst"":""2012-07-12 05:54:35 America/Los_Angeles"", ""original_purchase_date"":""2012-07-12 12:54:35 Etc/GMT"", ""item_id"":""534185042""}, ""status"":0}",2014-10-25 00:10:33 -0400 PDT,2014-10-25 07:10:33 -0400 UTC,0:0:18:30 (dd:hh:mm:ss)
31_6d38bc89-5c13-11e4-ad9b-22000a4a0686,2,3,3706,1289,0,265,28,Product not in the list,"",0,ba.lum.tribalrivals.pearls.xlarge.ar,99.99,99.99,69.993,USD,"{""deviceModel"":""iPad3,6"",""deviceName"":""‏ iPad الخاص بـassem_fouda"",""deviceType"":""Handheld""}",iPad 4 (GSM+CDMA),SA,2014-10-24 23:52:03 -0400 PDT,"{""receipt"":{""original_purchase_date_pst"":""2012-07-12 05:54:35 America/Los_Angeles"", ""purchase_date_ms"":""1342097675882"", ""original_transaction_id"":""170000029449420"", ""original_purchase_date_ms"":""1342097675882"", ""app_item_id"":""450542233"", ""transaction_id"":""170000029449420"", ""quantity"":""1"", ""bvrs"":""1.4"", ""version_external_identifier"":""9051236"", ""bid"":""com.zeptolab.ctrexperiments"", ""product_id"":""com.zeptolab.ctrbonus.superpower1"", ""purchase_date"":""2012-07-12 12:54:35 Etc/GMT"", ""purchase_date_pst"":""2012-07-12 05:54:35 America/Los_Angeles"", ""original_purchase_date"":""2012-07-12 12:54:35 Etc/GMT"", ""item_id"":""534185042""}, ""status"":0}",2014-10-25 00:10:33 -0400 PDT,2014-10-25 07:10:33 -0400 UTC,0:0:18:30 (dd:hh:mm:ss)
31_6d38bc89-5c13-11e4-ad9b-22000a4a0686,2,3,3706,1289,0,265,28,Product not in the list,C7FB0B55-1C2A-47D7-A84A-78A7542303DF,0,ba.lum.tribalrivals.pearls.xlarge.ar,99.99,99.99,69.993,USD,"{""deviceModel"":""iPad3,6"",""deviceName"":""‏ iPad الخاص بـassem_fouda"",""deviceType"":""Handheld""}",iPad 4 (GSM+CDMA),SA,2014-10-24 23:52:03 -0400 PDT,"{""receipt"":{""original_purchase_date_pst"":""2012-07-12 05:54:35 America/Los_Angeles"", ""purchase_date_ms"":""1342097675882"", ""original_transaction_id"":""170000029449420"", ""original_purchase_date_ms"":""1342097675882"", ""app_item_id"":""450542233"", ""transaction_id"":""170000029449420"", ""quantity"":""1"", ""bvrs"":""1.4"", ""version_external_identifier"":""9051236"", ""bid"":""com.zeptolab.ctrexperiments"", ""product_id"":""com.zeptolab.ctrbonus.superpower1"", ""purchase_date"":""2012-07-12 12:54:35 Etc/GMT"", ""purchase_date_pst"":""2012-07-12 05:54:35 America/Los_Angeles"", ""original_purchase_date"":""2012-07-12 12:54:35 Etc/GMT"", ""item_id"":""534185042""}, ""status"":0}",2014-10-25 00:10:35 -0400 PDT,2014-10-25 07:10:35 -0400 UTC,0:0:18:32 (dd:hh:mm:ss)
31_8bc82f30-42a7-11e4-b983-22000a4a0686,7,32,79603,525320,0,32,659,Not verified,ba.lum.tribalrivals.pearls.xsmall.ar1414221046333,0,ba.lum.tribalrivals.pearls.xsmall.ar,17.99,4.8,3.36,SAR,"{""deviceModel"":""iPhone6,2"",""deviceName"":""أبو رعد"",""deviceType"":""Handheld""}","iPhone 5s (model A1457, A1518, A1528 (China), A1530 | Global)",SA,2014-09-22 15:26:50 -0400 PDT,"{""status"":21002, ""exception"":""java.lang.NumberFormatException""}",2014-10-25 00:10:48 -0400 PDT,2014-10-25 07:10:48 -0400 UTC,32:8:43:58 (dd:hh:mm:ss)
31_8bc82f30-42a7-11e4-b983-22000a4a0686,7,32,79603,525320,0,32,659,Not verified,ba.lum.tribalrivals.pearls.xsmall.ar1414221051395,0,ba.lum.tribalrivals.pearls.xsmall.ar,17.99,4.8,3.36,SAR,"{""deviceModel"":""iPhone6,2"",""deviceName"":""أبو رعد"",""deviceType"":""Handheld""}","iPhone 5s (model A1457, A1518, A1528 (China), A1530 | Global)",SA,2014-09-22 15:26:50 -0400 PDT,"{""status"":21002, ""exception"":""java.lang.NumberFormatException""}",2014-10-25 00:10:52 -0400 PDT,2014-10-25 07:10:52 -0400 UTC,32:8:44:2 (dd:hh:mm:ss)
31_8bc82f30-42a7-11e4-b983-22000a4a0686,7,32,79603,525320,0,32,659,Not verified,ba.lum.tribalrivals.pearls.xsmall.ar1414221054479,0,ba.lum.tribalrivals.pearls.xsmall.ar,17.99,4.8,3.36,SAR,"{""deviceModel"":""iPhone6,2"",""deviceName"":""أبو رعد"",""deviceType"":""Handheld""}","iPhone 5s (model A1457, A1518, A1528 (China), A1530 | Global)",SA,2014-09-22 15:26:50 -0400 PDT,"{""status"":21002, ""exception"":""java.lang.NumberFormatException""}",2014-10-25 00:10:55 -0400 PDT,2014-10-25 07:10:55 -0400 UTC,32:8:44:5 (dd:hh:mm:ss)
31_8bc82f30-42a7-11e4-b983-22000a4a0686,7,32,79603,525320,0,32,659,Not verified,ba.lum.tribalrivals.pearls.xsmall.ar1414221057262,0,ba.lum.tribalrivals.pearls.xsmall.ar,17.99,4.8,3.36,SAR,"{""deviceModel"":""iPhone6,2"",""deviceName"":""أبو رعد"",""deviceType"":""Handheld""}","iPhone 5s (model A1457, A1518, A1528 (China), A1530 | Global)",SA,2014-09-22 15:26:50 -0400 PDT,"{""status"":21002, ""exception"":""java.lang.NumberFormatException""}",2014-10-25 00:10:58 -0400 PDT,2014-10-25 07:10:58 -0400 UTC,32:8:44:8 (dd:hh:mm:ss)
31_095401bf-4e63-11e4-975d-22000a4a0686,9,69,5000625,5000625,0,1231,1276,Valid,520000069479182,17500,ba.lum.tribalrivals.pearls.xlarge.ar,99.99,99.99,69.993,USD,"{""deviceModel"":""iPhone7,1"",""deviceName"":""✋شيخ الشباب✋"",""deviceType"":""Handheld""}","",QA,2014-10-07 13:46:39 -0400 PDT,"{""receipt"":{""original_purchase_date_pst"":""2014-10-25 00:11:29 America/Los_Angeles"", ""unique_identifier"":""529979d0b2a2b0e2de364855aa7cd80c768c38cb"", ""original_transaction_id"":""520000069479182"", ""bvrs"":""1.9"", ""app_item_id"":""793770655"", ""transaction_id"":""520000069479182"", ""quantity"":""1"", ""unique_vendor_identifier"":""3B38236B-6244-40E4-8E7F-7F17F6E402CA"", ""product_id"":""ba.lum.tribalrivals.pearls.xlarge.ar"", ""item_id"":""808200730"", ""version_external_identifier"":""747932653"", ""bid"":""ba.lum.tribalrivals.arabic"", ""purchase_date_ms"":""1414221089668"", ""purchase_date"":""2014-10-25 07:11:29 Etc/GMT"", ""purchase_date_pst"":""2014-10-25 00:11:29 America/Los_Angeles"", ""original_purchase_date"":""2014-10-25 07:11:29 Etc/GMT"", ""original_purchase_date_ms"":""1414221089668""}, ""status"":0}",2014-10-25 00:11:33 -0400 PDT,2014-10-25 07:11:33 -0400 UTC,17:10:24:54 (dd:hh:mm:ss)
